,feature,mean_abs_shap,optimal_value_range
0,author_fans,0.4471622844086341,4653002.0–4794002.0
1,hour_posting,0.10295867740244179,8.9–11.8
2,video_duration,0.08205569876718953,11.5–15.2
3,isAd,0.05398094691747912,1.0–1.0
4,word_count,0.04678079286821772,15.9–16.1
