hour_posting,mean_shap_value
0.0,0.0062324543205371195
1.0,0.004688414291252711
2.0,0.02173933734490891
3.0,0.0005292102362644592
4.0,-0.014013603226415363
5.0,0.019949184076394885
6.0,-0.015330863973358647
7.0,0.02171864598207841
8.0,0.01961957632861514
9.0,0.05332279311704704
10.0,0.03808935451106855
11.0,-0.13324902338738967
12.0,-0.1621941384121173
13.0,-0.14927223912341733
14.0,-0.15846272556092836
15.0,-0.282890198544077
16.0,-0.27218614779560396
17.0,-0.056951517161125176
18.0,0.06004738270051478
19.0,0.061943886711467375
20.0,0.09684225390404563
21.0,0.0957644756423013
22.0,0.10671862696855178
23.0,0.09835590474445396
