word_count_bin_center,mean_shap_value
11.733668341708542,-0.0178034767040915
23.893805309734514,0.00822808916442533
36.46551724137931,0.005020583202713169
49.392857142857146,-0.01239869019812821
61.35294117647059,-0.013898748958976392
75.2258064516129,-0.03301542582996791
85.95238095238095,-0.005132437098682637
99.73076923076923,-0.02102127488702536
110.76666666666667,-0.017164947556952637
123.47619047619048,-0.013381978466973773
135.46666666666667,-0.029120993085438383
148.84615384615384,-0.007270940129752629
159.55555555555554,-0.0326210298074875
173.375,-0.009670388331724098
188.25,-0.07603261103213299
197.4,0.01095771796349436
209.42857142857142,0.0021154522619742364
222.71428571428572,0.0018039729672351065
236.2,-0.0012643324439413858
