video_duration_bin_center,mean_shap_value
13.297872340425531,-0.19588178992583516
23.570093457943926,0.028869193459531317
32.79120879120879,0.02961162218400584
43.660714285714285,0.025075307581989496
52.26470588235294,0.021415110576541763
61.8,0.03546545089224431
72.16129032258064,0.055610077608219025
83.18518518518519,0.04531918345762986
92.37931034482759,0.04572550991309229
102.0,0.04345771265363223
109.91666666666667,0.053337531393141645
122.08333333333333,0.05865563030587509
131.7,0.04795769385341555
140.63636363636363,0.07037672040878203
150.33333333333334,0.059325285003966804
159.75,0.051362415010371476
166.66666666666666,0.12632435772529182
179.0,0.054280853538463514
191.66666666666666,0.0714695076958742
